Client_Num,Customer_Age,Dependent_Count,Car_Owner,House_Owner,Personal_loan,Income,Cust_Satisfaction_Score,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Interest_Earned,Delinquent_Acc
708082083,24,1,0,1,0,202326,3,200,0,87,3544.0,1661,15149,111,0.469,4393.21,0
708083283,62,0,0,0,0,5225,2,445,1,108,3421.0,2517,992,21,0.736,69.44,0
708084558,32,1,1,0,0,14235,2,140,0,106,8258.0,1771,1447,23,0.214,202.58,0
708085458,38,2,0,0,0,45683,1,250,1,150,1438.3,0,3940,82,0.0,236.4,0
708086958,48,4,1,1,0,59279,1,320,1,106,3128.0,749,4369,59,0.239,1004.87,1
708095133,33,1,0,1,0,14254,3,100,0,94,33304.0,1833,1448,29,0.055,275.12,0
708098133,34,3,1,0,0,14975,2,225,1,75,2834.0,1418,1598,39,0.5,159.8,1
708099183,34,2,0,0,0,31982,2,400,1,75,5723.0,1873,2732,63,0.327,409.8,0
708100533,48,2,1,0,0,86668,2,200,1,64,2679.0,2277,4943,85,0.85,988.6,0
708103608,53,1,1,1,0,223196,1,95,1,80,11898.0,2517,15798,128,0.212,3791.52,0
708104658,31,0,0,1,0,33625,2,455,1,118,1438.3,890,2928,48,0.619,732.0,0
708108333,34,4,0,0,0,14975,3,485,0,86,5590.0,0,1507,32,0.0,150.7,0
708112008,51,2,1,1,0,14975,2,440,1,86,23510.0,1049,1661,35,0.045,465.08,0
708113208,36,1,1,0,0,59416,3,300,1,149,1688.0,0,4375,69,0.0,525.0,0
708117933,49,4,0,1,0,28122,1,360,0,70,1880.0,0,2469,34,0.0,419.73,1
708119658,53,2,1,0,0,29021,1,340,0,44,12836.0,1034,2519,53,0.081,554.18,0
708121908,49,1,0,0,0,20632,3,405,0,71,22917.0,0,2045,45,0.0,265.85,0
708123033,47,5,0,0,0,172101,2,355,0,78,11463.0,0,14511,105,0.0,3047.31,0
708125733,43,4,0,0,0,57168,2,220,0,69,1438.3,0,4311,77,0.0,1207.08,0
708128733,47,3,0,0,0,89954,2,125,1,105,1814.0,0,5014,99,0.0,1303.64,0
708129933,34,3,1,1,1,53762,1,350,1,77,2072.0,1544,4210,64,0.745,884.1,0
708132783,37,5,1,1,0,45476,3,250,1,92,16411.0,1179,3929,71,0.072,785.8,1
708134283,63,0,1,1,1,14975,2,125,1,101,3131.0,629,1483,31,0.201,311.43,0
708136908,55,2,1,1,0,72878,2,110,1,73,2616.0,801,4655,68,0.306,605.15,0
708139833,38,1,0,0,0,25667,3,460,0,111,6391.0,0,2323,44,0.0,441.37,0
708145908,40,3,0,1,0,47224,1,320,0,78,4906.0,2185,3999,71,0.445,959.76,0
708147108,55,0,1,0,0,25341,2,320,0,112,21084.0,2517,2309,71,0.119,277.08,0
708148158,33,2,0,1,1,53644,3,175,0,73,1827.0,0,4207,86,0.0,925.54,0
708151008,54,1,0,1,0,27423,2,440,1,86,6250.0,644,2433,41,0.103,486.6,0
708152358,46,3,1,1,0,110014,2,335,1,101,18512.0,1664,8019,57,0.09,721.71,0
708153558,44,4,0,0,0,109186,3,375,0,150,34516.0,1802,7936,101,0.052,634.88,0
708154833,40,3,1,1,0,25835,2,250,0,82,1438.3,811,2336,46,0.564,630.72,0
708155733,44,3,1,1,0,11345,2,335,0,88,14734.0,1634,1289,23,0.111,296.47,0
